******************************************
ASBF QUADRATURE NODES
12 1
-0.981560634246719 
-0.904117256370475 
-0.769902674194305 
-0.587317954286617 
-0.367831498998180 
-0.125233408511469 
0.125233408511469 
0.367831498998180 
0.587317954286617 
0.769902674194305 
0.904117256370475 
0.981560634246719 
******************************************
ASBF QUADRATURE WEIGHTS
12 1
0.047175336386512 
0.106939325995319 
0.160078328543346 
0.203167426723066 
0.233492536538355 
0.249147045813403 
0.249147045813403 
0.233492536538355 
0.203167426723066 
0.160078328543346 
0.106939325995319 
0.047175336386512 
******************************************
ASBF GLL NODES
8 1
-1.000000000000000 
-0.871740148509606 
-0.591700181433143 
-0.209299217902479 
0.209299217902479 
0.591700181433142 
0.871740148509607 
1.000000000000000 
******************************************
ASBF PLOT NODES
18 1
-1.000000000000000 
-0.882352941176471 
-0.764705882352941 
-0.647058823529412 
-0.529411764705882 
-0.411764705882353 
-0.294117647058823 
-0.176470588235294 
-0.058823529411765 
0.058823529411765 
0.176470588235294 
0.294117647058824 
0.411764705882353 
0.529411764705882 
0.647058823529412 
0.764705882352941 
0.882352941176471 
1.000000000000000 
******************************************
ASBF INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE VANDERMONDE
12 7
0.036538721297179 -0.035864970451023 0.033868564989113 -0.030623129812457 0.026248352453557 -0.020905569152032 0.014791814978758 
0.182571986733125 -0.165066483735260 0.115906926053764 -0.044520420220870 -0.035403565688657 0.108538369573191 -0.160859260130219 
0.407249872268458 -0.313542765724775 0.075544955343107 0.197218239443680 -0.379222655238271 0.386710833322339 -0.216236754191283 
0.655057620572583 -0.384727101654548 -0.203143351967845 0.623346577463910 -0.529061921407492 -0.001891446719920 0.531283682643863 
0.864699988344752 -0.318063892896559 -0.630712151342076 0.782055485025605 0.055382868628642 -0.822798612198590 0.549919625168617 
0.984316593392600 -0.123269322044953 -0.953441718663425 0.362074834535460 0.862753987333221 -0.578166079616660 -0.717942569661006 
0.984316593392600 0.123269322044953 -0.953441718663425 -0.362074834535460 0.862753987333221 0.578166079616660 -0.717942569661006 
0.864699988344752 0.318063892896559 -0.630712151342076 -0.782055485025605 0.055382868628642 0.822798612198590 0.549919625168617 
0.655057620572583 0.384727101654548 -0.203143351967845 -0.623346577463911 -0.529061921407492 0.001891446719920 0.531283682643863 
0.407249872268458 0.313542765724775 0.075544955343107 -0.197218239443680 -0.379222655238271 -0.386710833322339 -0.216236754191283 
0.182571986733125 0.165066483735260 0.115906926053764 0.044520420220870 -0.035403565688657 -0.108538369573191 -0.160859260130219 
0.036538721297179 0.035864970451023 0.033868564989113 0.030623129812457 0.026248352453557 0.020905569152032 0.014791814978758 
******************************************
ASBF INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE DERIVATIVE VANDERMONDE
12 7
1.963121268493437 -1.890383836108464 1.676201504885256 -1.332465858434269 0.878344301723505 -0.339333816432053 -0.254002007870769 
1.808234512740950 -1.452284039800625 0.487702642858873 0.802217141135769 -2.027340204614681 2.792882254538488 -2.805769138917185 
