% degree N
9
% number of nodes
100
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-9.195339081664586E-01 -1.000000000000000E+00
-7.387738651055047E-01 -1.000000000000000E+00
-4.779249498104445E-01 -1.000000000000000E+00
-1.652789576663870E-01 -1.000000000000000E+00
1.652789576663869E-01 -1.000000000000000E+00
4.779249498104444E-01 -1.000000000000000E+00
7.387738651055048E-01 -1.000000000000000E+00
9.195339081664589E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -9.195339081664586E-01
-9.195339081664586E-01 -9.195339081664586E-01
-7.387738651055047E-01 -9.195339081664586E-01
-4.779249498104445E-01 -9.195339081664586E-01
-1.652789576663870E-01 -9.195339081664586E-01
1.652789576663869E-01 -9.195339081664586E-01
4.779249498104444E-01 -9.195339081664586E-01
7.387738651055048E-01 -9.195339081664586E-01
9.195339081664589E-01 -9.195339081664586E-01
1.000000000000000E+00 -9.195339081664586E-01
-1.000000000000000E+00 -7.387738651055047E-01
-9.195339081664586E-01 -7.387738651055047E-01
-7.387738651055047E-01 -7.387738651055047E-01
-4.779249498104445E-01 -7.387738651055047E-01
-1.652789576663870E-01 -7.387738651055047E-01
1.652789576663869E-01 -7.387738651055047E-01
4.779249498104444E-01 -7.387738651055047E-01
7.387738651055048E-01 -7.387738651055047E-01
9.195339081664589E-01 -7.387738651055047E-01
1.000000000000000E+00 -7.387738651055047E-01
-1.000000000000000E+00 -4.779249498104445E-01
-9.195339081664586E-01 -4.779249498104445E-01
-7.387738651055047E-01 -4.779249498104445E-01
-4.779249498104445E-01 -4.779249498104445E-01
-1.652789576663870E-01 -4.779249498104445E-01
1.652789576663869E-01 -4.779249498104445E-01
4.779249498104444E-01 -4.779249498104445E-01
7.387738651055048E-01 -4.779249498104445E-01
9.195339081664589E-01 -4.779249498104445E-01
1.000000000000000E+00 -4.779249498104445E-01
-1.000000000000000E+00 -1.652789576663870E-01
-9.195339081664586E-01 -1.652789576663870E-01
-7.387738651055047E-01 -1.652789576663870E-01
-4.779249498104445E-01 -1.652789576663870E-01
-1.652789576663870E-01 -1.652789576663870E-01
1.652789576663869E-01 -1.652789576663870E-01
4.779249498104444E-01 -1.652789576663870E-01
7.387738651055048E-01 -1.652789576663870E-01
9.195339081664589E-01 -1.652789576663870E-01
1.000000000000000E+00 -1.652789576663870E-01
-1.000000000000000E+00 1.652789576663869E-01
-9.195339081664586E-01 1.652789576663869E-01
-7.387738651055047E-01 1.652789576663869E-01
-4.779249498104445E-01 1.652789576663869E-01
-1.652789576663870E-01 1.652789576663869E-01
1.652789576663869E-01 1.652789576663869E-01
4.779249498104444E-01 1.652789576663869E-01
7.387738651055048E-01 1.652789576663869E-01
9.195339081664589E-01 1.652789576663869E-01
1.000000000000000E+00 1.652789576663869E-01
-1.000000000000000E+00 4.779249498104444E-01
-9.195339081664586E-01 4.779249498104444E-01
-7.387738651055047E-01 4.779249498104444E-01
-4.779249498104445E-01 4.779249498104444E-01
-1.652789576663870E-01 4.779249498104444E-01
1.652789576663869E-01 4.779249498104444E-01
4.779249498104444E-01 4.779249498104444E-01
7.387738651055048E-01 4.779249498104444E-01
9.195339081664589E-01 4.779249498104444E-01
